objID,plate,mjd,fiberID,class,subClass,redshift,redshiftError,velocityDispersion,velocityDispersionError,spectrum_fits_url
7.22054E+18,6413,56336,506,QSO,,0.7256321,0.000194628,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0506.fits
7.22054E+18,6413,56336,516,QSO,BROADLINE,0.6876317,6.96E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0516.fits
7.22054E+18,6413,56336,520,QSO,,0.8306311,6.04E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0520.fits
7.22054E+18,6413,56336,529,QSO,BROADLINE,0.5389259,3.94E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0529.fits
7.22054E+18,6413,56336,530,QSO,,0.3853958,0.000102327,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0530.fits
7.22054E+18,6413,56336,531,QSO,,2.07201,0.001338321,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0531.fits
7.22054E+18,6413,56336,534,QSO,BROADLINE,2.229827,0.000805422,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0534.fits
7.22055E+18,6413,56336,566,QSO,BROADLINE,2.917401,0.000326091,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0566.fits
7.22055E+18,6413,56336,570,QSO,BROADLINE,2.012356,0.001235585,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0570.fits
7.22055E+18,6413,56336,571,QSO,,1.121419,0.000481146,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0571.fits
7.22056E+18,6413,56336,588,QSO,BROADLINE,2.500243,0.000419701,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0588.fits
7.22056E+18,6413,56336,592,QSO,BROADLINE,2.999122,0.000120756,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0592.fits
7.22056E+18,6413,56336,594,QSO,BROADLINE,4.119734,0.001056074,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0594.fits
7.22056E+18,6413,56336,604,QSO,BROADLINE,1.19521,0.000620679,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0604.fits
7.22056E+18,6413,56336,608,QSO,BROADLINE,1.49119,0.000871626,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0608.fits
7.22057E+18,6413,56336,616,QSO,BROADLINE,2.650269,0.000436116,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6413/spec-6413-56336-0616.fits
1.27689E+19,11341,58428,80,QSO,,0.9891559,0.000859098,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0080.fits
1.27689E+19,11341,58428,82,QSO,BROADLINE,1.886506,0.000447949,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0082.fits
1.27689E+19,11341,58428,84,QSO,,1.814358,0.001165761,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0084.fits
1.27689E+19,11341,58428,87,QSO,,1.259931,0.001048236,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0087.fits
1.27689E+19,11341,58428,88,QSO,BROADLINE,1.610655,0.000430121,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0088.fits
1.27689E+19,11341,58428,90,QSO,BROADLINE,1.515398,0.000406355,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0090.fits
1.27689E+19,11341,58428,92,QSO,BROADLINE,1.941003,0.000408024,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0092.fits
1.27689E+19,11341,58428,94,QSO,BROADLINE,2.081168,0.000641838,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0094.fits
1.27689E+19,11341,58428,96,QSO,BROADLINE,2.408079,0.000809037,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0096.fits
1.27689E+19,11341,58428,98,QSO,,1.427851,0.001345849,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0098.fits
1.27689E+19,11341,58428,102,QSO,BROADLINE,1.616168,0.000417947,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0102.fits
1.27689E+19,11341,58428,104,QSO,,2.230133,0.00108333,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0104.fits
1.27689E+19,11341,58428,106,QSO,BROADLINE,1.360888,0.000462817,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0106.fits
1.27689E+19,11341,58428,112,QSO,BROADLINE,1.313725,0.000293569,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0112.fits
1.27689E+19,11341,58428,113,QSO,,1.331436,0.000835542,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0113.fits
1.27689E+19,11341,58428,115,QSO,,1.797453,0.001366765,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0115.fits
1.27689E+19,11341,58428,117,QSO,BROADLINE,1.537071,0.000587071,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0117.fits
1.27689E+19,11341,58428,118,QSO,,1.746157,0.001286637,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0118.fits
1.27689E+19,11341,58428,121,QSO,BROADLINE,1.197271,0.000485813,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0121.fits
1.27689E+19,11341,58428,122,QSO,BROADLINE,1.878933,0.000996182,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0122.fits
1.27689E+19,11341,58428,124,QSO,,0.6198489,0.000185983,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0124.fits
1.27689E+19,11341,58428,128,QSO,BROADLINE,1.872521,0.000785423,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0128.fits
1.27689E+19,11341,58428,129,QSO,BROADLINE,2.034488,0.000519433,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0129.fits
1.27689E+19,11341,58428,131,QSO,BROADLINE,1.532673,0.000625273,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0131.fits
1.27689E+19,11341,58428,132,QSO,BROADLINE,1.667355,0.000857759,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0132.fits
1.27689E+19,11341,58428,134,QSO,BROADLINE,2.024744,0.000686655,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0134.fits
1.27689E+19,11341,58428,135,QSO,BROADLINE,2.174095,0.000585835,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0135.fits
1.27689E+19,11341,58428,138,QSO,,1.874829,4.16E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0138.fits
1.27689E+19,11341,58428,140,QSO,BROADLINE,0.9692127,0.000530785,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0140.fits
1.27689E+19,11341,58428,141,QSO,BROADLINE,1.626224,0.000683812,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0141.fits
1.27689E+19,11341,58428,144,QSO,,1.457776,0.002220641,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0144.fits
1.27689E+19,11341,58428,145,QSO,BROADLINE,1.684878,0.000362936,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0145.fits
1.27689E+19,11341,58428,146,QSO,BROADLINE,1.654327,0.001676059,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0146.fits
1.27689E+19,11341,58428,147,QSO,BROADLINE,1.887641,0.001295611,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0147.fits
1.27689E+19,11341,58428,148,QSO,BROADLINE,1.886884,0.000803955,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0148.fits
1.27689E+19,11341,58428,149,QSO,,1.217703,0.000971112,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0149.fits
1.27689E+19,11341,58428,152,QSO,BROADLINE,1.649849,0.000531431,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/11341/spec-11341-58428-0152.fits
