objID,plate,mjd,fiberID,class,subClass,redshift,redshiftError,velocityDispersion,velocityDispersionError,spectrum_fits_url
2.04475E+18,1816,53919,411,GALAXY,AGN,0.142022,1.78E-05,147.9441,11.55212,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1816/spec-1816-53919-0411.fits
2.04475E+18,1816,53919,435,GALAXY,AGN,0.04549021,6.16E-06,116.4703,6.980114,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1816/spec-1816-53919-0435.fits
2.04476E+18,1816,53919,451,GALAXY,AGN,0.07736324,1.82E-05,148.712,7.673662,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1816/spec-1816-53919-0451.fits
5.1488E+18,4573,55587,224,GALAXY,AGN,0.3192319,4.52E-05,211.9787,19.68607,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4573/spec-4573-55587-0224.fits
1.00669E+18,894,52615,499,GALAXY,AGN BROADLINE,0.2421199,3.45E-05,214.3644,25.7246,
2.04474E+18,1816,53919,384,GALAXY,AGN,0.0396338,7.31E-06,84.3516,5.96635,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1816/spec-1816-53919-0384.fits
6.57613E+17,584,52049,318,GALAXY,AGN,0.03620249,1.48E-05,90.82602,6.672722,
6.57614E+17,584,52049,320,GALAXY,AGN,0.1558536,2.66E-05,186.6388,14.21394,
6.57617E+17,584,52049,334,GALAXY,AGN,0.07944195,9.44E-06,110.9372,10.01497,
6.53023E+18,5800,56279,30,GALAXY,AGN,0.08703266,7.38E-06,176.6436,5.569236,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5800/spec-5800-56279-0030.fits
1.35005E+18,1199,52703,351,GALAXY,AGN,0.1266875,2.51E-05,118.1514,16.24742,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1199/spec-1199-52703-0351.fits
1.35006E+18,1199,52703,400,QSO,AGN BROADLINE,0.1741154,2.67E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1199/spec-1199-52703-0400.fits
6.52242E+18,5793,56337,288,STAR,WDmagnetic,0.000585744,0.1120211,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5793/spec-5793-56337-0288.fits
2.02892E+18,1802,53885,166,GALAXY,AGN BROADLINE,0.07699563,1.12E-05,152.1035,5.955986,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1802/spec-1802-53885-0166.fits
4.79413E+18,4258,55481,181,QSO,AGN BROADLINE,0.4103548,8.18E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4258/spec-4258-55481-0181.fits
1.33761E+18,1188,52650,136,GALAXY,AGN,0.2050022,3.30E-05,176.2388,12.68693,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1188/spec-1188-52650-0136.fits
6.15878E+18,5470,56008,383,GALAXY,AGN BROADLINE,0.5501741,2.75E-05,850,-3,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5470/spec-5470-56008-0383.fits
6.15879E+18,5470,56008,410,GALAXY,AGN BROADLINE,0.2321704,1.90E-05,225.6935,13.24169,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5470/spec-5470-56008-0410.fits
6.1588E+18,5470,56008,447,QSO,AGN BROADLINE,0.4367763,4.93E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5470/spec-5470-56008-0447.fits
2.37568E+18,2110,53467,119,GALAXY,AGN,0.06021881,1.42E-05,145.3926,6.456956,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2110/spec-2110-53467-0119.fits
2.72248E+18,2418,53794,179,GALAXY,AGN,0.09595206,1.53E-05,136.9057,5.609565,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2418/spec-2418-53794-0179.fits
8.59741E+18,7636,56989,153,GALAXY,AGN,0.436244,5.81E-05,111.5795,27.19001,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7636/spec-7636-56989-0153.fits
7.56043E+18,6715,56449,29,GALAXY,AGN,0.4532287,3.80E-05,263.4723,51.7004,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6715/spec-6715-56449-0029.fits
1.41022E+19,12525,58932,945,QSO,AGN,0.266542,3.54E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/12525/spec-12525-58932-0945.fits
1.41022E+19,12525,58932,957,GALAXY,AGN,0.4595921,3.87E-05,166.7473,47.19682,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/12525/spec-12525-58932-0957.fits
