objID,plate,mjd,fiberID,class,subClass,redshift,redshiftError,velocityDispersion,velocityDispersionError,spectrum_fits_url
1.33771E+18,1188,52650,496,GALAXY,STARBURST,0.1116595,7.16E-06,48.23603,21.25694,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1188/spec-1188-52650-0496.fits
1.33771E+18,1188,52650,499,GALAXY,STARBURST,0.130109,8.63E-06,90.33672,15.13853,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1188/spec-1188-52650-0499.fits
1.33771E+18,1188,52650,525,GALAXY,STARBURST,0.1001196,7.91E-06,170.4581,15.64348,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1188/spec-1188-52650-0525.fits
1.33772E+18,1188,52650,533,GALAXY,STARBURST,0.1023093,8.54E-06,13.75415,25.56485,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1188/spec-1188-52650-0533.fits
1.33772E+18,1188,52650,546,GALAXY,STARBURST,0.2402448,8.01E-06,180.8333,68.85303,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1188/spec-1188-52650-0546.fits
9.97899E+18,8863,57724,522,GALAXY,STARBURST,0.2806191,1.31E-05,32.95247,96.74785,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/8863/spec-8863-57724-0522.fits
9.97901E+18,8863,57724,572,GALAXY,STARBURST,0.3774904,1.47E-05,60.06572,61.57263,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/8863/spec-8863-57724-0572.fits
8.59643E+18,7635,56979,684,GALAXY,STARBURST,0.05812631,6.42E-06,0,22.84665,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7635/spec-7635-56979-0684.fits
8.59644E+18,7635,56979,712,GALAXY,STARBURST,0.2224598,1.02E-05,616.2928,116.2292,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7635/spec-7635-56979-0712.fits
8.59645E+18,7635,56979,740,GALAXY,STARBURST,0.2759118,1.48E-05,850,-3,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7635/spec-7635-56979-0740.fits
1.20698E+19,10720,58250,584,GALAXY,STARBURST,0.1729919,1.33E-05,21.30615,155.5893,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/10720/spec-10720-58250-0584.fits
